Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,0,Structured Clinical Interview,SCID,SCID for DSM-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: active suicidality,Excluded: psychotic disorder,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Self report,PCL,PCL-C ≥44,1,1,0,0,1,0,0,0,1,High,1,Excluded: acute suicidality,Excluded: psychosis,Mixed,"intimate partner violence, accidents, rape/sexual assault, combat-related, community/school violence, other (trafficking)",Low
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,MINI,DSM-IV criteria on MINI,0,0,0,0,0,1,1,1,1,High,0,"Allowed: ""did not exclude based on suicidality""","Allowed: ""did not exclude based on… severe dissociation""







Excluded: ""current… schizophrenia or other psychotic disorder""",Mixed,"combat-related, rape/sexual assault, other (NR)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,0,0,0,0,0,0,0,0,1,High,0,"Allowed: ""Participants...who endorsed suicidal 

ideation without current, active suicidal intent or plan""","Excluded: ""psychotic symptoms that precluded ability to participate in TCTSY and CPT""",MST,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Mixed,Crossover 1st period,Cluster-level,1,0,1,0,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS ≥50,1,0,0,0,0,0,0,0,1,Low,1,Excluded: active suicidal ideation on presentation,Excluded: lifetime history of psychotic disorder,Mixed,"combat-related. rape/sexual assault, accidents, community/school violence, other (fire, witnessed assault or death, witnessed 9/11 attacks)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III-R criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: history of schizophrenia,Mixed,"rape/sexual assault, accidents, community/school violence",Low
CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,SCID,SCID clinical trial version for DSM-IV-TR,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CIDI,CIDI,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,SCID,SCID for DSM-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing accident)",Medium
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,0,Structured Clinical Interview,SCID,SCID with psychotic screen for DSM-IV,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: history of a psychotic disorder,Mixed,"child sexual abuse, child physical abuse, accidents, combat-related, other (death [not combat-related] of another person)",Low
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""psychotic... disorder""",Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS ≥50,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"accidents, rape/sexual assault, combat-related, community/school violence, other (non-specified)",High
